hotttness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
0.343466066,0.450858063,0,376.16281,0,-8.948,0,140.133,22050,0.908,4,0.756,0,0.503,369.633,4,0,TRBFNGV12903D0F07F
0.611117503,0.872536599,0,241.8673,0,-12.328,1979,94.423,22050,0,9,0.994,1,0.542,236.124,3,1,TRBFNMG128F4278109
0.840462688,0.840409662,0,130.95138,0,-7.455,1964,159.437,22050,0.224,1,0.605,0,0.526,127.663,1,0,TRBFNMW12903CBF3CE
0.521726648,0.774037142,0,151.92771,0,-4.468,1988,149.767,22050,0,0,0.8,1,0.728,146.019,1,0,TRBFNOR128F933B0F5
0.541888972,0.839975094,0,198.63465,0,-7.168,0,74.074,22050,0,7,0.023,1,0.419,193.19,4,0.346,TRBFNWA128F9324891
0.580345271,0.801989216,0,238.54975,0,-12.967,2004,139.482,22050,0.067,2,0.119,0,0.294,205.473,5,0.359,TRBFNZT128F429201E
0.401098465,0.625067009,0,198.76526,0,-12.818,1966,111.722,22050,0,1,0.082,0,0.654,194.241,5,1,TRBFNDW128F9359ECE
0.566912407,0.669371502,0,133.69424,0,-9.334,0,93.033,22050,0.087,2,0.632,1,0.632,124.122,4,0.333,TRBFNZQ128F4249CCA
0.479308459,0.717670525,0,344.45016,0,-10.193,1974,154.763,22050,0.154,4,0.232,1,0.229,335.377,1,0,TRBFNEE128F425C676
0.542289933,0.7087354,0,170.68363,0,-6.555,1956,103.859,22050,0.415,3,0.269,1,0.235,164.612,1,0.373,TRBFNLX128F4249752
0.408091819,0.686720834,0,168.56771,0,-15.529,0,78.19,22050,0.624,7,0.793,1,0.683,150.645,3,1,TRBFNFN128F1473A51
0.316759902,0.568497748,0,303.882,0,-6.607,0,91.513,22050,0.073,2,0.431,1,0.496,298.022,4,0.814,TRBFNBZ128EF34EF11
0.536400011,0.797420741,0,202.91873,0,-12.024,2009,130.692,22050,0,7,0.661,1,0.604,199.872,1,0,TRBFNBC12903CA9800
0.44269672,0.675295469,0,128.54812,0,-13.85,2007,122.653,22050,0.229,11,0.071,1,0.473,124.651,3,0.105,TRBFNYS128EF3412E8
0.634412385,0.787098355,0,145.05751,0,-10.544,1970,150.569,22050,2.223,11,0.717,1,0.613,140.132,3,1,TRBFNSL128F42776F9
0.345109487,0.547040707,0,239.90812,0,-16.775,2009,151.992,22050,0,1,0.374,1,0.348,220.073,4,0,TRBFNOL128F930AA0B
0.373671139,0.523837612,0,234.78812,0,-3.137,0,143.513,22050,2.572,9,0.427,1,0.337,224.705,4,0,TRBFWWX128F933936C
0.280935294,0.394311539,0,138.1873,0,-16.188,0,152.709,22050,0.601,6,0.418,1,0.459,130.682,3,1,TRBFWGM128F4243B40
0.843430844,0.98993857,0,98.16771,0,-3.887,0,123.881,22050,0,1,0.497,1,0.523,98.168,5,1,TRBFWYX128F145F889
0,0.366302895,0,263.81016,0,-14.048,0,121.379,22050,0,2,0.605,1,0.769,240.599,4,0.018,TRBFWVA128F42265AD
0.396619566,0.691973119,0,232.38485,0,-5.797,2005,124.995,22050,0.142,11,0.175,0,0.539,229.756,4,1,TRBFWFX128E079531B
